H	1	1.00794		8.99E-05	0.3326		0.0007	20.052	0.014
He	2	4.002602	1.79E-04	5.5E-05		3.0E-06	1.532	0.012
Li	3	6.941		0.534		0.0448		0.0030	0.25	0.04
Be	4	9.012182	1.848		8.49E-03	3.4E-04	4.0E-03	1.0E-03
B	5	10.811		2.34		0.067		0.004	1.26	0.03
C	6	12.011		2.1		3.50E-03	7.0E-05	3.0E-04	1.0E-04
N	7	14.00674	0.0012506	0.0747		0.0073	0.39	0.11
O	8	15.9994		0.001429	1.9E-04		2.0E-05	0.0	0.0
F	9	18.9984032	0.001696	9.51E-03	9.0E-05	0.0	0.0
Ne	10	20.1797		9.00E-04	0.039		0.004	0.015	0.005
Na	11	22.98977	0.971		0.517		0.004	1.536	0.006
Mg	12	24.305		1.738		0.0666		0.0011	0.046	0.006
Al	13	26.981539	2.6989		0.231		0.003	0.0098	0.0006
Si	14	28.0855		2.33		0.171		0.003	0.009	0.002
P	15	30.973761	1.82		0.165		0.003	0.006	0.004
S	16	32.066		2.07		0.518		0.014	0.0054	0.0007
Cl	17	35.4527		0.003214	33.1		0.3	4.9	0.2
Ar	18	39.948		0.0017837	0.675		0.009	0.209	0.002
K	19	39.0983		0.862		2.1		0.1	0.37	0.10
Ca	20	40.078		1.55		0.43		0.02	0.025	0.003
Sc	21	44.95591	2.989		27.2		0.2	4.3	0.4
Ti	22	47.867		4.54		6.41		0.06	2.75	0.04
V	23	50.9415		6.11		5.04		0.04	0.0	0.0
Cr	24	51.9961		7.19		3.17		0.08	1.75	0.01
Mn	25	54.938049	7.3		13.36		0.05	0.6	0.2
Fe	26	55.845		7.874		2.56		0.03	0.38	0.03
Co	27	58.9332		8.9		37.18		0.06	5.22	0.07
Ni	28	58.6934		8.902		4.49		0.16	4.8	0.2
Cu	29	63.546		8.96		3.78		0.02	0.50	0.04
Zn	30	65.39		7.133		1.11		0.02	0.075	0.007
Ga	31	69.723		5.904		2.89		0.07	0.0	0.0
Ge	32	72.61		5.323		2.20		0.04	0.0	0.0
As	33	74.9216		5.73		4.09		0.08	0.06	0.01
Se	34	78.96		4.79		11.9		0.2	0.34	0.1
Br	35	79.904		3.12		6.9		0.2	0.1	0.4
Kr	36	83.8		0.003733	25.1		0.7	0.0	0.0
Rb	37	85.4678		1.532		0.38		0.04	0.0	0.0
Sr	38	87.62		2.54		1.28		0.06	0.0	0.0
Y	39	88.90585	4.469		1.28		0.02	0.13	0.02
Zr	40	91.224		6.506		0.185		0.003	0.15	0.03
Nb	41	92.90638	8.57		1.15		0.05	0.0	0.0
Mo	42	95.94		10.22		2.52		0.04	0.27	0.12
Tc	43	97.91		11.5		0.93		0.20	0.0	0.0
Ru	44	101.07		12.41		2.56		0.13	0.0	0.0
Rh	45	102.9055	12.41		143.5		1.5	0.0	0.0
Pd	46	106.42		12.02		6.9		0.4	0.091	0.009
Ag	47	107.8682	10.5		63.3		0.4	0.55	0.04
Cd	48	112.411		8.65		2522.06		48.88	0.0	0.0
In	49	114.818		7.31		193.8		1.5	0.46	0.10
Sn	50	118.71		7.13		0.603		0.009	0.022	0.005
Sb	51	121.76		6.691		4.96		0.05	0.0033	0.0019
Te	52	127.6		6.24		4.6		0.1	0.2	0.2
I	53	126.90447	4.93		6.15		0.06	0.18	0.06
Xe	54	131.29		0.005887	87.0		1.0	0.0	0.0
Cs	55	132.90545	1.873		30.3		1.1	0.0	0.0
Ba	56	137.327		3.5		1.2		0.1	0.0	0.0
La	57	138.9055	6.145		9.04		0.04	1.49	0.20
Ce	58	140.115		6.77		0.63		0.04	0.0	0.0
Pr	59	140.90765	6.773		11.5		0.3	16.0	3.0
Nd	60	144.24		7.008		50.1		1.4	11.0	2.0
Pm	61	144.91		7.264		8400.0		1680.0	0.0	0.0
Sm	62	150.36		7.52		5670.0		100.0	0.0	0.0
Eu	63	151.965		5.244		4565.0		100.0	0.0	0.0
Gd	64	157.25		7.901		48890.0		104.0	172.0	0.0
Tb	65	158.92534	8.23		23.4		0.4	3.6E-03	1.4E-03
Dy	66	162.5		8.551		943.0		15.0	70.0	5.0
Ho	67	164.93032	8.795		64.7		1.2	0.36	0.09
Er	68	167.26		9.066		156.4		3.0	0.8	0.6
Tm	69	168.93421	9.321		105.0		2.0	0.11	0.07
Yb	70	173.04		6.903		34.8		0.6	4.0	0.8
Lu	71	174.967		9.841		74.9		2.0	0.10	0.05
Hf	72	178.49		13.31		104.1		0.5	2.60	0.49
Ta	73	180.9479	16.654		20.57		0.50	0.011	0.003
W	74	183.84		19.25		18.4		0.3	1.82	0.12
Re	75	186.207		21.02		89.7		1.4	0.0	0.0
Os	76	190.23		22.57		17.1		0.7	0.5	0.5
Ir	77	192.217		22.42		425.3		2.4	0.0	0.0
Pt	78	195.08		21.45		10.3		0.3	0.59	0.04
Au	79	196.96655	19.3		98.65		0.09	0.36	0.05
Hg	80	200.59		13.546		372.3		4.0	6.3	0.1
Tl	81	204.3833	11.85		3.43		0.06	0.17	0.03
Pb	82	207.2		11.35		0.154		0.003	0.003	0.0007
Bi	83	208.98038	9.747		0.0342		0.0007	0.0058	0.0006
Po	84	208.98		9.32		0.030		0.0	0.0	0.0
At	85	209.99		6.35		0.0		0.0	0.0	0.0
Rn	86	222.02		0.00973		0.72		0.07	0.0	0.0	
Fr	87	223.02		1.87		0.0		0.0	0.0	0.0
Ra	88	226.03		5.0		12.8		1.5	0.0	0.0
Ac	89	227.03		10.07		890.0		30.0	0.0	0.0
Th	90	232.03805	11.72		7.35		0.03	0.0	0.0
Pa	91	231.04		15.37		200.6		2.3	0.0	0.0
U	92	238.0289	18.95		2.680		0.019	0.0	0.0
Np	93	237.05		20.25		175.9		2.9	0.0	0.0
Pu	94	239.0		19.84		269.3		2.9	0.2	0.2
Am	95	241.0		13.67		587.0		12.0	0.0	0.0
Cm	96	248.0		13.51		2.63		0.26	0.0	0.0
Bk	97	249.0		14.0		746.0		40.0	0.0	0.0
Cf	98	252.0		15.1		20.4		1.5	0.0	0.0
Es	99	254.0		8.84		28.3		2.5	0.0	0.0
Fm	100	257.10		8.84		2950.0		160.0	0.0	0.0
